,human_means,ai_means,percentage_diff
char_freq,1253.8791727140783,2601.9335994194485,107.51071203993644
word_freq,277.04716981132077,528.5348330914369,90.77431234954987
sentence_freq,17.866835994194485,27.329100145137883,52.959931764180254
unique_word_freq,141.85486211901306,252.84325108853412,78.24080705559761
flesch_score,84.57144775036285,69.32199201741655,-18.031446946444017
avg_sentence_std_dev,6.458900950158343,6.135539695010773,-5.006443939036453
noun_freq,39.43142235123367,99.77866473149491,153.0435342725424
verb_freq,37.583817126269956,69.13860667634252,83.95844797791099
pronoun_freq,43.91690856313498,65.97314949201741,50.222662866113076
adjective_freq,16.14912917271408,32.16182873730043,99.15518907138198
adverb_freq,17.971698113207548,21.331277213352685,18.693720977185535
exclamation_freq,0.7376632801161103,0.23367198838896952,-68.32267584849976
ellipsis_freq,0.0867198838896952,0.006168359941944848,-92.88702928870293
sentiment,0.5899619375907112,0.8621544992743106,46.137308924569
